Date;Libelle;Montant;Devise;Solde
25.04.2024;Slack Business+;-87.50;CHF;25357.15
30.04.2024;Virement salaires employes;-18500.00;CHF;6857.15
02.05.2024;Versement client Brasserie du Port;16500.00;CHF;23357.15
02.05.2024;Microsoft 365 Business Premium;-92.00;CHF;23265.15
03.05.2024;Commission de tenue de compte PostFinance;-35.00;CHF;23230.15
04.05.2024;Salesforce CRM Monthly;-290.00;CHF;22940.15
06.05.2024;AWS Cloud Services mai;-390.00;CHF;22550.15
07.05.2024;Zoom Video Communications;-149.00;CHF;22401.15
08.05.2024;HubSpot Marketing Hub;-450.00;CHF;21951.15
10.05.2024;Dropbox Business;-120.00;CHF;21831.15
13.05.2024;Google Workspace Business;-60.00;CHF;21771.15
14.05.2024;GitHub - EUR 45.00 frais en devise etrangere;-49.50;CHF;21721.65
15.05.2024;Penalite depassement plafond carte Corporate;-75.00;CHF;21646.65
16.05.2024;Swisscom Business Internet;-195.00;CHF;21451.65
20.05.2024;PayPal - USD 230.00 conversion devise;-209.30;CHF;21242.35
23.05.2024;Datadog Infrastructure Monitoring;-186.00;CHF;21056.35
28.05.2024;Slack Business+;-87.50;CHF;20968.85
31.05.2024;Virement salaires employes;-18500.00;CHF;2468.85
03.06.2024;Versement client Hotel Beaurivage;28000.00;CHF;30468.85
03.06.2024;Microsoft 365 Business Premium;-92.00;CHF;30376.85
04.06.2024;Commission de tenue de compte PostFinance;-35.00;CHF;30341.85
05.06.2024;Salesforce CRM Monthly;-290.00;CHF;30051.85
06.06.2024;AWS Cloud Services juin;-400.00;CHF;29651.85
07.06.2024;Zoom Video Communications;-149.00;CHF;29502.85
08.06.2024;HubSpot Marketing Hub;-450.00;CHF;29052.85
10.06.2024;Dropbox Business;-120.00;CHF;28932.85
12.06.2024;Google Workspace Business;-60.00;CHF;28872.85
13.06.2024;GitHub - EUR 45.00 frais en devise etrangere;-49.68;CHF;28823.17
17.06.2024;Swisscom Business Internet;-215.00;CHF;28608.17
19.06.2024;PayPal - USD 115.00 conversion devise;-104.65;CHF;28503.52
21.06.2024;Datadog Infrastructure Monitoring;-187.00;CHF;28316.52
26.06.2024;Frais de retard de paiement PostFinance;-25.00;CHF;28291.52
28.06.2024;Slack Business+;-87.50;CHF;28204.02
28.06.2024;Virement salaires employes;-18500.00;CHF;9704.02
01.07.2024;Versement client Pizzeria Napoli;12000.00;CHF;21704.02
02.07.2024;Microsoft 365 Business Premium;-92.00;CHF;21612.02
03.07.2024;Commission de tenue de compte PostFinance;-35.00;CHF;21577.02
04.07.2024;Salesforce CRM Monthly;-290.00;CHF;21287.02
05.07.2024;AWS Cloud Services juillet;-405.00;CHF;20882.02
07.07.2024;Figma Professional;-45.00;CHF;20837.02
08.07.2024;Zoom Video Communications;-149.00;CHF;20688.02
09.07.2024;HubSpot Marketing Hub;-450.00;CHF;20238.02
10.07.2024;Dropbox Business;-120.00;CHF;20118.02
12.07.2024;Google Workspace Business;-60.00;CHF;20058.02
15.07.2024;GitHub - EUR 45.00 frais en devise etrangere;-49.95;CHF;20008.07
17.07.2024;Swisscom Business Internet;-215.00;CHF;19793.07
19.07.2024;PayPal - USD 88.00 conversion devise;-80.52;CHF;19712.55
22.07.2024;Datadog Infrastructure Monitoring;-188.00;CHF;19524.55
26.07.2024;Slack Business+;-87.50;CHF;19437.05
31.07.2024;Virement salaires employes;-18500.00;CHF;937.05
01.08.2024;Versement client Cafe du Commerce;19500.00;CHF;20437.05
02.08.2024;Microsoft 365 Business Premium;-99.00;CHF;20338.05
03.08.2024;Commission de tenue de compte PostFinance;-35.00;CHF;20303.05
05.08.2024;Salesforce CRM Monthly;-290.00;CHF;20013.05
06.08.2024;AWS Cloud Services aout;-415.00;CHF;19598.05
07.08.2024;Figma Professional;-45.00;CHF;19553.05
08.08.2024;Zoom Video Communications;-149.00;CHF;19404.05
09.08.2024;HubSpot Marketing Hub;-450.00;CHF;18954.05
12.08.2024;Dropbox Business;-120.00;CHF;18834.05
14.08.2024;Google Workspace Business;-60.00;CHF;18774.05
15.08.2024;GitHub - EUR 45.00 frais en devise etrangere;-50.22;CHF;18723.83
16.08.2024;Rappel de paiement impaye Sunrise;-45.00;CHF;18678.83
19.08.2024;Swisscom Business Internet;-215.00;CHF;18463.83
21.08.2024;PayPal - USD 178.00 conversion devise;-162.98;CHF;18300.85
23.08.2024;Datadog Infrastructure Monitoring;-189.00;CHF;18111.85
28.08.2024;Slack Business+;-87.50;CHF;18024.35
30.08.2024;Virement salaires employes;-18500.00;CHF;-475.65
02.09.2024;Versement client Restaurant Panorama;24000.00;CHF;23524.35
02.09.2024;Microsoft 365 Business Premium;-99.00;CHF;23425.35
03.09.2024;Commission de tenue de compte PostFinance;-35.00;CHF;23390.35
04.09.2024;Salesforce CRM Monthly;-290.00;CHF;23100.35
05.09.2024;AWS Cloud Services septembre;-425.00;CHF;22675.35
06.09.2024;Figma Professional;-45.00;CHF;22630.35
09.09.2024;Zoom Video Communications;-149.00;CHF;22481.35
10.09.2024;HubSpot Marketing Hub;-450.00;CHF;22031.35
11.09.2024;Dropbox Business;-120.00;CHF;21911.35
13.09.2024;Google Workspace Business;-60.00;CHF;21851.35
16.09.2024;GitHub - EUR 45.00 frais en devise etrangere;-50.40;CHF;21800.95
18.09.2024;Swisscom Business Internet;-215.00;CHF;21585.95
20.09.2024;PayPal - USD 95.00 conversion devise;-87.40;CHF;21498.55
23.09.2024;Datadog Infrastructure Monitoring;-190.00;CHF;21308.55
27.09.2024;Slack Business+;-87.50;CHF;21221.05
30.09.2024;Virement salaires employes;-18500.00;CHF;2721.05
01.10.2024;Versement client Traiteur Alpin;31000.00;CHF;33721.05
02.10.2024;Microsoft 365 Business Premium;-99.00;CHF;33622.05
03.10.2024;Commission de tenue de compte PostFinance;-35.00;CHF;33587.05
04.10.2024;Salesforce CRM Monthly;-290.00;CHF;33297.05
05.10.2024;AWS Cloud Services octobre;-430.00;CHF;32867.05
07.10.2024;Figma Professional;-45.00;CHF;32822.05
08.10.2024;Zoom Video Communications;-149.00;CHF;32673.05
09.10.2024;HubSpot Marketing Hub;-450.00;CHF;32223.05
10.10.2024;Dropbox Business;-120.00;CHF;32103.05
14.10.2024;Google Workspace Business;-60.00;CHF;32043.05
15.10.2024;GitHub - EUR 45.00 frais en devise etrangere;-50.67;CHF;31992.38
16.10.2024;Penalite depassement plafond carte Corporate;-75.00;CHF;31917.38
18.10.2024;Swisscom Business Internet;-215.00;CHF;31702.38
21.10.2024;PayPal - USD 203.00 conversion devise;-186.76;CHF;31515.62
24.10.2024;Datadog Infrastructure Monitoring;-191.00;CHF;31324.62
29.10.2024;Slack Business+;-87.50;CHF;31237.12
31.10.2024;Virement salaires employes;-18500.00;CHF;12737.12
01.11.2024;Versement client Boucherie Centrale;9800.00;CHF;22537.12
02.11.2024;Microsoft 365 Business Premium;-99.00;CHF;22438.12
03.11.2024;Commission de tenue de compte PostFinance;-35.00;CHF;22403.12
04.11.2024;Salesforce CRM Monthly;-290.00;CHF;22113.12
05.11.2024;AWS Cloud Services novembre;-435.00;CHF;21678.12
06.11.2024;Figma Professional;-45.00;CHF;21633.12
07.11.2024;Zoom Video Communications;-149.00;CHF;21484.12
08.11.2024;HubSpot Marketing Hub;-450.00;CHF;21034.12
11.11.2024;Dropbox Business;-120.00;CHF;20914.12
13.11.2024;Google Workspace Business;-60.00;CHF;20854.12
14.11.2024;GitHub - EUR 45.00 frais en devise etrangere;-50.85;CHF;20803.27
15.11.2024;Swisscom Business Internet;-215.00;CHF;20588.27
18.11.2024;PayPal - USD 142.00 conversion devise;-130.64;CHF;20457.63
20.11.2024;Frais de retard de paiement PostFinance;-25.00;CHF;20432.63
22.11.2024;Datadog Infrastructure Monitoring;-191.00;CHF;20241.63
27.11.2024;Slack Business+;-87.50;CHF;20154.13
29.11.2024;Virement salaires employes;-18500.00;CHF;1654.13
02.12.2024;Versement client Hotel des Alpes;35000.00;CHF;36654.13
02.12.2024;Microsoft 365 Business Premium;-99.00;CHF;36555.13
03.12.2024;Commission de tenue de compte PostFinance;-35.00;CHF;36520.13
04.12.2024;Salesforce CRM Monthly;-290.00;CHF;36230.13
05.12.2024;AWS Cloud Services decembre;-440.00;CHF;35790.13
06.12.2024;Figma Professional;-45.00;CHF;35745.13
07.12.2024;Zoom Video Communications;-149.00;CHF;35596.13
09.12.2024;HubSpot Marketing Hub;-450.00;CHF;35146.13
10.12.2024;Dropbox Business;-120.00;CHF;35026.13
11.12.2024;Google Workspace Business;-60.00;CHF;34966.13
12.12.2024;GitHub - EUR 45.00 frais en devise etrangere;-51.30;CHF;34914.83
13.12.2024;Swisscom Business Internet;-215.00;CHF;34699.83
16.12.2024;PayPal - USD 98.00 conversion devise;-90.16;CHF;34609.67
18.12.2024;Datadog Infrastructure Monitoring;-191.00;CHF;34418.67
23.12.2024;Slack Business+;-87.50;CHF;34331.17
27.12.2024;Rappel de paiement impaye Sunrise;-45.00;CHF;34286.17
30.12.2024;Virement salaires employes;-19000.00;CHF;15286.17
